    n    m             Cnm                      Snm  
    0    0    0.100000000000000E+01    0.000000000000000E+00
    1    0    0.000000000000000E+00    0.000000000000000E+00
    1    1    0.000000000000000E+00    0.000000000000000E+00
    2    0   -0.484169480000000E-03    0.000000000000000E+00
    2    1   -0.206615509074176E-09    0.138441389137979E-08 
    2    2    0.243938357328313E-05   -0.140027370385934E-05 
    3    0    0.957161207093473E-06    0.000000000000000E+00 
    3    1    0.203046201047864E-05    0.248200415856872E-06 
    3    2    0.904787894809528E-06   -0.619005475177618E-06 
    3    3    0.721321757121568E-06    0.141434926192941E-05 
    4    0    0.539965866638991E-06    0.000000000000000E+00 
    4    1   -0.536157389388867E-06   -0.473567346518086E-06 
    4    2    0.350501623962649E-06    0.662480026275829E-06 
    4    3    0.990856766672321E-06   -0.200956723567452E-06 
    4    4   -0.188519633023033E-06    0.308803882149194E-06 
    5    0    0.686702913736681E-07    0.000000000000000E+00 
    5    1   -0.629211923042529E-07   -0.943698073395769E-07 
    5    2    0.652078043176164E-06   -0.323353192540522E-06 
    5    3   -0.451847152328843E-06   -0.214955408306046E-06 
    5    4   -0.295328761175629E-06    0.498070550102351E-07 
    5    5    0.174811795496002E-06   -0.669379935180165E-06 
    6    0   -0.149953927978527E-06    0.000000000000000E+00 
    6    1   -0.759210081892527E-07    0.265122593213647E-07 
    6    2    0.486488924604690E-07   -0.373789324523752E-06 
    6    3    0.572451611175653E-07    0.895201130010730E-08 
    6    4   -0.860237937191611E-07   -0.471425573429095E-06 
    6    5   -0.267166423703038E-06   -0.536493151500206E-06 
    6    6    0.947068749756882E-08   -0.237382353351005E-06 
    7    0    0.905120844521618E-07    0.000000000000000E+00 
    7    1    0.280887555776673E-06    0.951259362869275E-07 
    7    2    0.330407993702235E-06    0.929969290624092E-07 
    7    3    0.250458409225729E-06   -0.217118287729610E-06 
    7    4   -0.274993935591631E-06   -0.124058403514343E-06 
    7    5    0.164773255934658E-08    0.179281782751438E-07 
